
Command,Description
-vera,Allows you to use Vera with VCS. -vera Allows you to use Vera with VCS. Usage % vcs [compile_options] -vera verilog_filelist filename.v Example % vcs test.v -vera This section describes the following : +vera_load=file.vro Allows you to simulate the .vro file created during compilation. +vera_load=file.vro Allows you to simulate the .vro file created during compilation. Usage % simv [simv_options] +vera_load=file.vro Example % simv +vera_load=dv.vro 15 SystemVerilog Assertions Options This section describes the following:
-assert hier,VCS recommends to use -assert enable_hier in place of -assert enable_diag. The following runtime assertion options can be enabled at runtime if -assert enable_hier is passed because it does not have any performance overhead. -assert hier -assert maxfail=N -assert finish_maxfail=N
-assert,"VCS supports automatic variables in the sampled system auto_var_in_sampled           function calls like $sampled, $past, $rose, $fell, and $changed in procedural context. | enable_diag success -assert | Terminate the simulation if the total number of failures from all global_finish_maxfail=N        SVAs reaches N. | VCS calls the $error task if an assert statement fails and else error_default_action_bl        clause is not specified. ock"
-assert vacuous,reporting of vacuous successes and failures.
-assert hier=<filename>,Enables or disables assertions during runtime. You can use the of assertions in the specified file. | Enables or disables the assertions during runtime.
-Xova,It is used to compile both the case pragmas and assertions. assertions.
-assert failonly,Fail-only is an assertion evaluation mode by which VCS provides an optional optimization controlled by the -assert mode for concurrent assertions.
-assert allow_antec_x,VCS enables the feature to treat x as TRUE while evaluating the antecedent of assertions using the -assert
-assert svvunit,VCS supports using SystemVerilog and SystemVerilog Assertions inside a Property Specification Language (PSL) verification unit (vunit).
-assert disable_flush,"To flush off all these assertion re-trigger feature, you can use | VCS flushes off all the assertions that are re-triggered."
-assert svaext,enable the IEEE Std. 1800-2012 compliant SVA features.
-assert checker,"To enable the checker endchecker construct, you must use"
-assert typed_formal,"When datatype of actual expression and formal expression is not same, VCS adds the support for all the integral datatype (such as int, integer, packed struct, packed vector) except enumeration type and anonymous packed struct, using the"
-assert no_seqdebug,"VCS stops the sequence debugging even with +vpi using following options: • -assert vpiSeqFail • -assert vpiSeqBeginTime -assert enable_diag • -assert success • -assert summary • -assert maxcover=N • -assert maxsuccess=N Usage vcs -sverilog <filename> -assert enable_diag Examples vcs -sverilog test.sv -assert enable_diag -assert enable_hier hier=file.txt[-] hier=file.txtassert -assert assertions on or off. Usage vcs -sverilog -assert enable_hier <filename> [other_compile_options] Examples vcs -sverilog -assert enable_hier test.sv -assert hier VCS recommends to use -assert enable_hier in place of -assert enable_diag. The following runtime assertion options can be enabled at runtime if -assert enable_hier is passed because it does not have any performance overhead. -assert hier -assert maxfail=N -assert finish_maxfail=N Usage vcs -sverilog -assert hier <filename> [other_compile_options] Examples vcs -sverilog -assert hier test.sv -assert dumpoff Disables dumping of SVA information in the VPD file during simulation. Usage vcs -sverilog -assert dumpoff <filename> [other_compile_options] Examples vcs -sverilog -assert dumpoff test.sv -assert auto_var_in_sampled VCS supports automatic variables in the sampled system function calls like $sampled, $past, $rose, $fell, and $changed in procedural context. Usage vcs -sverilog -assert auto_var_in_sampled [other_compile_options] <filename> Examples vcs -sverilog -assert auto_var_in_sampled test.sv -assert vacuous and failures. Usage vcs -sverilog -assert vacuous <filename> [other_compile_options] Examples vcs -sverilog -assert vacuous test.sv -assert disable disable only the SVAs specified in a file, use the -assert hier=<filename> compile-time Usage vcs -sverilog -assert disable <filename> [other_compile_options] Examples vcs -sverilog -assert disable test.sv -assert hier=<filename> Enables or disables assertions during runtime. You can use the -assert Usage vcs -sverilog -assert hier=<filename> <filename> [other_compile_options] Examples vcs -sverilog -assert hier=test.txt test.sv -assert disable_cover for coverage, and write an assertion coverage database during simulation. Usage vcs -sverilog -assert disable_cover <filename> [other_compile_options] Examples vcs -sverilog -assert disable_cover test.sv -assert disable_assert Disables the property checks (assert and assume directives) and retains assertion coverage (cover directives). Usage vcs -sverilog -assert disable_assert <filename> [other_compile_options] Examples vcs -sverilog -assert disable_assert test.sv -assert funchier Enables the new function naming convention. Usage vcs -sverilog -assert funchier+svaext <filename> Examples vcs -sverilog -assert funchier+svaext test.sv –ova_enable_case Enable compilation of OVA case pragmas. Enables the compilation of OVA case pragmas pragmas are ignored. -Xova –ova_inline compile both the case pragmas and assertions. Usage vcs -sverilog -ova_enable_case <filename> [other_compile_options] Examples vcs -sverilog -ova_enable_case test.sv -Xova the case pragmas and assertions. Usage vcs -sverilog -Xova <filename> [other_compile_options] Examples vcs -sverilog -Xova test.sv –ova_inline both the case pragmas and assertions. Usage vcs -sverilog -ova_inline <filename> [other_compile_options] Examples vcs -sverilog -ova_inline test.sv -assert offending_values the values of all variables used in the assertion failure messages. Usage vcs -sverilog -assert offending_values <filename> [other_compile_options] Examples vcs -sverilog -assert offending_values test.sv -assert failonly Fail-only is an assertion evaluation mode by which VCS provides an optional optimization mode for concurrent assertions. Usage vcs -sverilog -assert failonly <filename> [other_compile_options] Examples vcs -sverilog -assert failonly test.sv -assert allow_antec_x VCS enables the feature to treat x as TRUE while evaluating the antecedent of assertions Usage vcs <filename> -sverilog -assert allow_antec_x Examples vcs test.sv -sverilog -assert allow_antec_x -assert svvunit VCS supports using SystemVerilog and SystemVerilog Assertions inside a Property Specification Language (PSL) verification unit (vunit). Usage vcs -assert svvunit <filename> <design_filename> \ <vunit_filename> Examples vcs -assert svvunit test.sv design.v -assert success+enable_diag VCS allows you to concatenate the compile-time and runtime assertion options on the compile command-line using the + separator. VCS identifies and appropriately passes these options to compile and runtime, wherever applicable. Concatenating all options simplifies the use model. enable_diag -assert success Usage vcs -sverilog -assert success+enable_diag -R <filename> compile time. Examples vcs -sverilog -assert success+enable_diag -R test.sv -assert disable_flush To flush off all these assertion re-trigger feature, you can use the -assert Usage vcs -sverilog -assert disable_flush <filename> Examples vcs -sverilog -assert disable_flush test.sv -assert svaext compliant SVA features. Usage vcs -sverilog -assert svaext <filename> Examples vcs -sverilog -assert svaext test.sv -assert checker at compile time. Usage vcs -sverilog -assert checker <filename> Examples vcs -sverilog -assert checker test.sv -assert typed_formal When datatype of actual expression and formal expression is not same, VCS adds the support for all the integral datatype (such as int, integer, packed struct, packed vector) except enumeration type and anonymous packed struct, using the -assert Usage vcs -sverilog <filename> -assert typed_formal Examples vcs -sverilog test.sv -assert typed_formal -assert no_seqdebug VCS stops the sequence debugging even with +vpi using the -assert no_seqdebug • -assert vpiSeqFail • -assert vpiSeqBeginTime Usage vcs -sverilog <filename> -assert no_seqdebug +vpi Examples vcs -sverilog test.sv -assert no_seqdebug +vpi This section describes the following:"
-assert finish_maxfail=N,Terminates the simulation if the number of failures for any assertion reaches N.
-assert success,"By default, VCS reports only failures. However, you can use matches, and successes on cover statements in addition to failures."
-assert summary,VCS allows you to view the assertion success count with
-assert maxsuccess=N,Limits the maximum number of successes reported.
-assert maxcover=N,"To stop collecting coverage for multiple times and to stop the simulation if the assertions fail, you can use the -assert"
-assert report=<filename>,Generates a report file.
-assert enable_wildcard,Enable assertion control using wildcard characters.
-assert dumpsuccess,Enables dumping of the SystemVerilog assertion success messages to the VPD file. –assert                        Disables the default messages during runtime. no_default_msg[=SVA|OVA|P SL]
-assert quiet,Disables the display of messages when assertions fail.
-assert quiet1,Disables messages and prints the summary at the end. The -assert quiet and -assert quiet1 options are applicable to SVA only. termination of simulation: –ova_enable_case_maxfail       Includes OVA case violations in computation of global failure
-assert skip_success_cb,You can disable the success and attempts callbacks on assertions using the -assert skip_success_cb runtime skip_success_cb generating only the failure callbacks.
-suspend_boundscheck,suppressing the run-time out of bound access messages using
-assert errmsg,message along with the assertion failure message.
-assert novpi,"Disables all vpi based callback access for assertions and debug overhead, when the design is compiled with higher debug capabilities."
-assert dbgopt,"Enables the assertion optimization in the presence of higher for runtime performance. All the optimizations that are not part of the full debug flow are enabled under this switch. When this when the design is compiled with -debug_access+f or CLI level greater than 2 or -debug_access+all. You can enable success dumping by giving the switch -assert dumpsuccess at runtime, which can potentially degrade runtime performance."
-assert dbgopt=N,"Creates groups of N assertions with non-temporal expressions under the same clock, thereby localizing the evaluation of such assertions due to changes in a smaller set of signals."
-assert disable=<value>,"Disables the concurrent, immediate, and deferred assertions in a particular design. The options for <value> can be concurrent, deferred, and immediate."
-assert noDefSuccRpt,"Improves the performance of deferred assertions during capabilities are used, VCS tracks both successes and failures, therefore results in reduced runtime performance. When this switch is used, VCS tracks only failures of deferred assertions and drops the successes. This improves the performance because successes happen more frequently. This -debug_access switch."
-assert nocovdb,The -assert nocovdb switch can be used to disable the recording of assertion results in the coverage database.
-assert nopostproc,"display of the SystemVerilog assert and cover statement summary at the end of simulation. -assert finish_maxfail=N Terminates the simulation if the number of failures for any assertion reaches N. Usage simv -assert finish_maxfail=N Examples simv -assert finish_maxfail=5 -assert global_finish_maxfail=N Terminate the simulation if the total number of failures from all SVAs reaches N. Usage simv -assert global_finish_maxfail=N Examples simv -assert global_finish_maxfail=5 -assert success to enable reporting of successful matches, and successes on cover statements in addition to failures. Usage vcs -sverilog <filename> -assert enable_diag simv -assert success Examples vcs -sverilog test.v -assert enable_diag simv -assert success -assert summary Usage vcs -sverilog <filename> -assert enable_diag simv -assert summary Examples vcs -sverilog test.v -assert enable_diag simv -assert summary -assert maxsuccess=N successes to N. Usage simv -assert maxsuccess=N Examples simv -assert maxsuccess=5 -assert maxcover=N To stop collecting coverage for multiple times and to stop the simulation if the assertions collection of coverage information for cover statements after the cover statements are covered N number of times. N must be a positive integer, it cannot be 0. Additionally, you number of failures for any assertion reaches N. Usage simv -assert maxcover=N Examples simv -assert maxcover=5 -assert hier=<filename> assertions in the specified file. Usage simv -assert hier=<filename> Examples simv -assert hier=test.txt -assert report=<filename> specified name. Usage simv -assert report=<filename> Examples simv -assert report=test.txt -assert enable_wildcard control through wildcard characters. For example, $assertoff(0,""Top.AL.*.A1""). Usage simv -assert enable_wildcard Examples simv -assert enable_wildcard -assert dumpsuccess Enables dumping of the SystemVerilog assertion success messages to the VPD file Usage simv -assert dumpsuccess Examples simv -assert dumpsuccess –assert no_default_msg[=SVA|OVA|PSL] messages for SVA assertions that contain a fail action block, and OVA and PSL assertions that contain user messages. The -assert no_default_msg=OVA and -assert no_default_msg=PSL options affect both OVA and PSL assertions, but not SVA. Usage simv -assert no_default_msg[=SVA|OVA|PSL] Examples simv -assert no_default_msg=SVA simv -assert no_default_msg=OVA simv -assert no_default_msg=PSL -assert quiet assertions fail. Usage simv -assert quiet Examples simv -assert quiet -assert quiet1 Disables messages and prints the summary at the end. The -assert quiet and -assert quiet1 options are applicable to SVA only. Usage simv -assert quiet1 Examples simv -assert quiet1 –assert no_fatal_action fail action blocks from adding up to the global failure count, for the -assert Usage simv -assert global_finish_maxfail=N -assert no_fatal_action Examples simv -assert global_finish_maxfail=1 -assert no_fatal_action –ova_enable_case_maxfail Includes OVA case violations in computation of global failure count for the -assert Usage simv -assert global_finish_maxfail=N -ova_enable_case_maxfail Examples simv -assert global_finish_maxfail=1 -ova_enable_case_maxfail -assert disable_flush VCS flushes off all the assertions that are re-triggered. Usage simv -assert disable_flush Examples simv -assert disable_flush -assert error_default_action_block VCS calls the $error task if an assert statement fails and else clause is not specified. This feature is supported for immediate, deferred, and concurrent assertions. Usage simv -assert error_default_action_block Examples simv -assert error_default_action_block -assert skip_success_cb You can disable the success and attempts callbacks on assertions using the -assert skip_success_cb generating only the failure callbacks. Usage vcs -sverilog -debug_access <filename1.tab, filename2.c, filename.v> Where, filename1.tab and filename2.c files are applicable only for VPI callbacks. simv -assert skip_success_cb Examples vcs -sverilog -debug_access test.sv simv -assert skip_success_cb -suspend_boundscheck Usage vcs -sverilog <filename> -boundscheck -debug_acc simv -suspend_boundscheck Examples vcs -sverilog test.sv -boundscheck -debug_acc simv -suspend_boundscheck -assert errmsg assertion failure message. Usage simv -assert errmsg Examples simv -assert errmsg -assert keyword_argument -assert finish_maxfail options are enabled only when the -assert enable_diag The -assert keyword_argument is used to enable or disable SystemVerilog assertions at runtime. It can be used to specify various options such as enabling assertions in functions, enabling assertions in hierarchies, and enabling or disabling specific assertions based on wildcard matching. The -assert keyword_argument can also be used to enable or disable assertions in specific module instances or hierarchies. Usage simv -assert keyword_argument Examples simv -assert keyword_argument -assert novpi Disables all vpi based callback access for assertions and dumping of assertion. This assertion debug overhead, when the design is compiled with higher debug capabilities. Usage simv -assert novpi Examples simv -assert novpi -assert dbgopt Enables the assertion optimization in the presence of higher debug caps. This compile optimal code for runtime performance. All the optimizations that are not part of the performance when the design is compiled with -debug_access+f or CLI level greater than 2 or -debug_access+all. You can enable success dumping by giving the switch -assert dumpsuccess at runtime, which can potentially degrade runtime performance. Usage simv -assert dbgopt Examples simv -assert dbgopt -assert dbgopt=N Creates groups of N assertions with non-temporal expressions under the same clock, thereby localizing the evaluation of such assertions due to changes in a smaller set of signals. Usage simv -assert dbgopt=N Examples simv -assert dbgopt=2 -assert disable=<value> Disables the concurrent, immediate, and deferred assertions in a particular design. The options for <value> can be concurrent, deferred, and immediate. Usage simv -assert disable=<value> Examples simv -assert disable=2 -assert noDefSuccRpt Improves the performance of deferred assertions during runtime. When the and failures, therefore, results in reduced runtime performance. When this switch is used, VCS tracks only failures of deferred assertions and drops the successes. This improves when the design is compiled without the -debug_access switch. Usage simv -assert noDefSuccRpt Examples simv -assert noDefSuccRpt -assert nocovdb The -assert nocovdb switch can be used to disable the recording of assertion results in the coverage database. This feature allows you to control which assertions are active and VCS records in the coverage database without having to recompile your design. To use this feature, you must have compiled your design with the -assert to control assertions. For example, you can use the +tree module_instance_name entry to enable assertions in the specified module instance and all module instances hierarchically under the instance, or use the -tree module_instance_name entry to disable the assertions in the specified module instance and all module instances hierarchically under the instance. Similarly, you can use other entries to enable or disable specific assertions or modules. Usage simv -assert nocovdb Examples simv -assert nocovdb -assert nopostproc assert and cover statement summary at the end of simulation. Usage simv -assert nopostproc Examples simv -assert nopostproc 16 SystemC Options This section describes the following:"
-sysc=ams,the SystemC designs.
-sysc=incr,"When only the SystemC source code has been modified, the"
-sysc=show_sc_main,(default)               modules on top and Verilog or VHDL instantiated within SystemC.
-sysc=nodep,files. This can speed up the overall compile time.
-sysc=dep (default),"To explicitly enable the dependency check for SystemC source files call of VCS. -sysc Usage %vcs -sysc … Example %vcs -sysc … -sysc=adjust_timeres If the time resolution of SystemC and HDL differs, VCS can also automatically determine the finer time resolution and set it as the simulator’s time scale. To enable this feature, you Usage %vcs -sysc=adjust_timeres Example %vcs -sysc ... -sysc=adjust_timeres ... -sysc=ams executing the VCS elaboration. design with SystemC and AMS. Usage %vcs -sysc=ams Example %vcs -sysc -sysc=ams -sysc -ad=sp.init -sysc=incr used to invoke a partial build. All SystemC source files that are previously compiled with syscan are checked and automatically compiled again if necessary. Finally, the simulation simv is linked again. Usage % vcs -sysc=incr [-full64] [-Mdir=mydir] Example % vcs -sysc=incr -sysc=show_sc_main Usage % vcs -sysc=show_sc_main … Example Following is the sample report: % Printing Inst 'sc_main.SC_TOP.SC_INST_1.VLOG_INST_A' of Verilog module VLOG_BOT -sysc=noshow_sc_main use SystemC on Top internally Usage %vcs -sysc=noshow_sc_main … Example %vcs -sysc=noshow_sc_main … -sysc=nodep By default, VCS does a dependency check for SystemC source files. Even if no source file needs to be recompiled, the check itself takes some time. You can speed up the overall the SystemC source files. This can speed up the overall compile time. Usage % vcs -Mlib=… -sysc=nodep:AA -sysc=dep:BB Example % vcs -sysc=nodep .. -sysc=dep enabled for all the libraries during elaboration and incremental compilation. Usage %vcs -sysc=dep ... Example % vcs -sysc=dep ... This section describes the following:"
-sysc=stacksize,stack size.
-sysc=stackguardsize,stack guard size of all SystemC threads.
-systemcrun,"By default, all command-line arguments are provided to sc_main(), and the VCS simulator kernel. All arguments following -systemcrun are passed to sc_main(). -sysc=stacksize Use the -sysc=stacksize:<value> runtime switch to set the stack size. This is the same switch used to set the stack size for SC_THREADS. Usage % simv -sysc=stacksize:<value> Example simv -sysc=stacksize:1024k -sysc=stackguardsize Usage %simv -sysc=stackguardsize:<value> Example simv -sysc=stackguardsize:100k -sysc=force_vcs_log_on_error The -sysc=force_vcs_log_on_error switch is used to capture messages sent to the SC_REPORT_ERROR. The log file comprises of all the SystemC and DPI messages. Usage % simv -sysc=force_vcs_log_on_error Example % simv -sysc=force_vcs_log_on_error -l simv.log -sysc=enable_multiple_dki_driver_check an error message. The following error message is issued during simulation. Error: (E115) sc_signal<T> cannot have more than one driver:         ... Usage % simv -sysc=enable_multiple_dki_driver_check Example % simv -sysc=enable_multiple_dki_driver_check -sysc=disable_multiple_dki_driver_check E115. Usage % simv -sysc=disable_multiple_dki_driver_check Example % simv -sysc=disable_multiple_dki_driver_check -systemcrun By default, all command-line arguments are provided to sc_main(), and the VCS simulator kernel. All arguments following -systemcrun are passed to sc_main(). Usage % simv -systemcrun Example simv -ucli a b -verilogrun c d -systemcrun e f g 17 Dynamic Test Loading Options This section describes the following:"
-enable_dynamic_tb,Enables Dynamic Test Loading (DTL) flow.
-dynamic_tb,Enables dynamic test compile for DTL. -enable_dynamic_tb Enables dynamic test loading flow. Usage vcs -partcomp DUT <dut_name> -dir=<dir_name> -enable_dynamic_tb Examples vcs -partcomp DUT base_test_pkg -dir=IP_BASE_TEST -enable_dynamic_tb -dynamic_tb Enables dynamic test compile for DTL. Usage % vcs -partcomp test1_pkg -dir= <dir_name> -sharedlib=IP_BASE_TEST -dynamic_tb Examples % vcs -partcomp test1_pkg -dir= IP_TEST1 -sharedlib=IP_BASE_TEST -dynamic_tb This section describes the following:
+dtl_add_pkg,Specifies the name of the test to be loaded dynamically at runtime. +dtl_add_pkg Specifies the name of the test to be loaded dynamically at runtime. Usage % simv +UVM_TEST_NAME=<uvm_test_name> -ucli -i <ucli_cmd_file> +dtl_add_pkg=<test_name> Example % simv +UVM_TEST_NAME=test1 -ucli -i restore.cmds +dtl_add_pkg=IP_TEST1:test1_pkg 18 Mixed Language Design Options • Analysis Options Analysis Options This section describes the following: • Analysis Options for vhdlan • Analysis Options for vlogan Analysis Options for vhdlan This section describes the following analysis options for vhdlan:
-assert psl_in_block,the usage of PSL assertions inside VHDL block statements in vunit.
-f optionsfile,Specifies an optionsfile that expands the vhdlan command-line options.
-full64,Enables compilation in 64-bit mode. | Enables compilation and simulation in 64-bit mode. | Enables simulation in 64-bit mode.
-functional_vital,Specifies generating code for functional VITAL simulation mode.
-help,Prints usage information for vhdlan | Displays usage information for vlogan.
-init_std_logic,"Initializes all uninitialized VHDL signals, ports and variables of the data type STD_LOGIC/STD_ULOGIC (scalar/vector) with a given 9-value. Analysis Options"
-list,"Creates a list filelist file (.lis) containing the VHDL source code of the analyzed files, the names of the analyzed design units, and warning or error messages produced during analysis."
-no_functional_vital,Specifies generating code for full-timing VITAL simulation mode.
-output outfile,Redirects standard output from VCS analysis (that usually goes to the screen) to the file you specify as outfile.
-psl,"If you inline the PSL code, you must compile/analyze it with the | You can include PSL in your design either by inlining the PSL using the //psl or /*psl */ pragmas in Verilog and SystemVerilog, and --psl pragma in VHDL."
-smart_order,identify the file order dependencies internally and then do file-by-file analysis of all VHDL files passed to it.
-sv_opts,"Specifies Verilog options like timescale, +define+macro to “vlog_opts_to_SVAs”            SVAs inlined in your VHDL code."
-sva,Enables SVAs inlined in your VHDL code.
-version,Prints the version number of vhdlan and exits without running analysis.
"-vhdl87, -vhdl93","2008, VHDL 2019, VHDL-87 and VHDL-93 protected type."
-work library,"Maps a design library name to the logical library name WORK, which receives the output of vhdlan. | Specifies creating the VERILOG directory and writing intermediate files in the physical directory associated with this logical library."
+define+macro,Defines a text macro. uted                delays in specify blocks to zero delays.
-fauto,Gives simulation the same semantics as synthesis.
-file filename,Specifies a file that contains a list of path names to source files and required analysis options.
+incdir+directory,Specifies the directories that contain the files you specified with the ‘include compiler directive.
-incr_vlogan,no changes in the following: • source files analyzed by that same command in previous parsing iteration. • imported SV packages referenced at source files analyzed by that command. • command line user options (+define+) or vlogan command options. • shell environments.
-liblist,should search for resolving package references found while analyzing.
-libmap filename,Specifies a library mapping file.
+lint=[no]ID|no,Enables messages that tell you when your Verilog code contains ne|all                 something that is bad style but is often used in designs.
-location,Displays the location of the vlogan installation.
+nowarnTFMPC,Suppresses the “Too few module port connections” warning messages during Verilog Compilation.
-ntb,Enables the use of the OpenVera testbench language constructs.
-ntb_incdir,Specifies the include directory path for OpenVera files. directory_path
-ova_file filename,required if the file name ends with .ova.
-sv_pragma,Analyzes SystemVerilog Assertions that follow the sv_pragma keyword in a single line or multi-line comment.
+systemverilogext+,Specifies a file name extension for SystemVerilog source files. ext Analysis Options
-V[t],Enables warning messages and displays the time used by each command.
-v library_file,Specifies a Verilog library file to search for module definitions. +verilog1995ext+ext Specifies a file name extension for Verilog 1995 files. +verilog2001ext+ext Specifies a file name extension for Verilog 2001 source files.
+warn=[no]ID|no,Uses warning message IDs to enable or disable display of warning ne|all                 messages.
